Country_Name,Deaths,Confirmed
US,84,2748
US,10927,656093
US,860,29050
US,579,18826
US,0,0
US,2532,129321
US,955,64164
US,187,8568
US,0,0
US,595,24287
US,870,39746
US,54,3191
US,39,2828
US,155,5464
US,529,38482
US,103,5711
US,36,1832
US,7,543
US,61,3988
US,42,1876
US,47,2918
US,52,2360
US,83,3256
US,29,1289
US,61,3089
US,41,2867
US,212,19167
US,146,9384
US,112,7827
US,58,2597
US,18,1075
US,26,1720
US,53,2596
US,195,18023
US,46,2437
US,52,1538
US,343,14847
US,45,2672
US,97,8756
US,22,2647
US,102,7084
US,28,2182
US,145,5409
US,53,2233
US,41,3826
US,208,11837
US,51,4077
US,11,755
US,47,2838
US,40,1953
US,55,3577
US,44,1747
US,33,3175
US,161,10942
US,33,2219
US,52,1940
US,39,5606
US,118,7239
US,21,1103
US,34,1035
US,29,1133
US,29,1101
US,68,3195
US,15,1364
US,60,2861
US,32,1497
US,92,4366
US,90,2638
US,137,10939
US,27,1217
US,819,54989
US,50,2799
US,216,17157
US,19,1356
US,20,1163
US,312,20109
US,31,3429
US,58,2386
US,53,4367
US,38,1486
US,0,4906
US,120,5040
US,35,1886
US,419,40951
US,167,12023
US,19,960
US,73,4240
US,1317,110932
US,0,94
US,53,4648
US,218,16588
US,63,3122
US,18,2754
US,891,90971
US,25,3037
US,122,13848
US,1828,119738
US,30,2912
US,78,7546
US,753,30576
US,39,1589
US,1485,128770
US,266,27094
US,78,5548
US,27,6341
US,25477,1421616
US,254,19191
US,242,16365
US,10,858
US,64,6318
US,513,37265
US,8,627
US,5,1461
US,542,46684
US,91,11792
US,85,7748
US,5274,308832
US,337,31595
US,6,1068
US,4749,337921
US,1967,141730
US,65,6825
US,5398,333534
US,3922,340709
US,591,48120
US,1548,89293
US,286,26183
US,600,49859
US,489,39876
US,1807,137177
US,210,18694
US,258,16213
US,0,198
US,41,3443
US,300,42038
US,365,37929
US,1173,77144
US,138,12238
US,74,7143
US,10,692
US,874,57068
US,93,5778
US,0,173
US,1093,91330
US,235,17576
US,55,8865
US,763,67574
US,39,1963
US,775,70298
US,2,1282
US,5,360
US,22,1568
US,241,26976
US,77,5749
US,26,1970
US,7,148
US,4,622
US,27,808
US,6,285
US,18,2239
US,6,264
US,76,3278
US,877,82026
US,1,153
US,257,34907
US,29,7445
US,956,84593
US,17,2173
US,71,6950
US,57,6861
US,3,335
US,7,1733
US,8,1609
US,0,48
US,17,505
US,0,72
US,840,54649
US,3,111
US,14,759
US,47,4788
US,2,927
US,263,32510
US,18,1528
US,5,1134
US,69,4234
